district|school|classification|division|game|enrollment|reportyear
Fort Worth ISD | FW Young Mens Leadership Acad | 6A | x | 11 Man |354|2018
Garland ISD | Garland Naaman Forest | 6A | x | 11 Man |2158|2018
McAllen ISD | McAllen Rowe | 6A | x | 11 Man |2162|2018
Garland ISD | South Garland | 6A | x | 11 Man |2171|2018
Donna ISD | Donna | 6A | x | 11 Man |2195|2018
Waco ISD | Waco | 6A | x | 11 Man |2195|2018
Leander ISD | Leander | 6A | x | 11 Man |2199|2018
Haltom City Birdville ISD | N Richland Hills Richland | 6A | x | 11 Man |2207|2018
Houston Strake Jesuit College Prep | Houston Strake Jesuit | 6A | x | 11 Man |2208|2018
Laredo ISD | Laredo Nixon | 6A | x | 11 Man |2209|2018
Mansfield ISD | Mansfield Summit | 6A | x | 11 Man |2216|2018
Dallas ISD | Dallas Molina | 6A | x | 11 Man |2220|2018
Fort Worth Northwest ISD | Northwest Eaton | 6A | x | 11 Man |2222|2018
Tyler ISD | Tyler Lee | 6A | x | 11 Man |2222|2018
Austin ISD | Austin Anderson | 6A | x | 11 Man |2223|2018
Dallas Jesuit College Prep |Dallas Jesuit | 6A | x | 11 Man |2234|2018
Waxahachie ISD | Waxahachie | 6A | x | 11 Man |2235|2018
Humble ISD | Humble Summer Creek | 6A | x | 11 Man |2237|2018
Weslaco ISD | Weslaco East | 6A | x | 11 Man |2239|2018
Dallas ISD | Dallas White | 6A | x | 11 Man |2241|2018
Longview ISD | Longview | 6A | x | 11 Man |2243|2018
PharrSan JuanAlamo ISD | PSJA | 6A | x | 11 Man |2245|2018
Tomball ISD | Tomball Memorial | 6A | x | 11 Man |2247|2018
La Porte ISD | La Porte | 6A | x | 11 Man |2248|2018
Fort Bend ISD | Fort Bend Kempner | 6A | x | 11 Man |2263|2018
Copperas Cove ISD | Copperas Cove | 6A | x | 11 Man |2269|2018
Temple ISD | Temple | 6A | x | 11 Man |2269|2018
Austin ISD | Austin | 6A | x | 11 Man |2271|2018
Houston Spring Branch ISD | Houston Stratford | 6A | x | 11 Man |2273|2018
Fort Bend ISD | Fort Bend Austin | 6A | x | 11 Man |2279|2018
Humble ISD | Humble | 6A | x | 11 Man |2279|2018
Amarillo ISD | Amarillo Tascosa | 6A | x | 11 Man |2281|2018
McAllen ISD | McAllen Memorial | 6A | x | 11 Man |2291|2018
Garland ISD | Garland Lakeview Cent | 6A | x | 11 Man |2296|2018
Eagle Pass ISD | Eagle Pass | 6A | x | 11 Man |2306|2018
Edinburg CISD | Edinburg Vela | 6A | x | 11 Man |2307|2018
Donna ISD | Donna North | 6A | x | 11 Man |2310|2018
Weatherford ISD | Weatherford | 6A | x | 11 Man |2311|2018
Keller ISD | Keller Fossil Ridge | 6A | x | 11 Man |2319|2018
